	gc.content	chrom.arm
chr1_37804209	0.464261299	chr1p
chr1_37956341	0.495388697	chr1p
chr1_38098817	0.477833104	chr1p
chr1_38231966	0.453795137	chr1p
chr1_38361487	0.418501562	chr1p
chr1_38499097	0.452568199	chr1p
chr1_38629305	0.445408152	chr1p
chr1_38768236	0.439070901	chr1p
chr1_38913495	0.456343266	chr1p
chr1_39079151	0.444102707	chr1p
chr1_39222861	0.413436748	chr1p
chr1_39362880	0.434870607	chr1p
chr1_39506164	0.495132985	chr1p
chr1_39662009	0.486282708	chr1p
chr1_39816522	0.465246559	chr1p
chr1_39960220	0.4421073	chr1p
chr1_40110118	0.407261313	chr1p
chr1_40254114	0.443170482	chr1p
chr1_40402470	0.416093696	chr1p
chr1_40547620	0.459509164	chr1p
chr1_40692801	0.473799322	chr1p
chr1_40827225	0.477865537	chr1p
chr1_40967888	0.439207008	chr1p
chr1_41109327	0.386598582	chr1p
chr1_41253461	0.483523812	chr1p
chr1_41385409	0.530496342	chr1p
chr1_41512540	0.490624249	chr1p
chr1_41645756	0.494727297	chr1p
chr1_41773679	0.460108419	chr1p
chr1_41904283	0.412710778	chr1p
chr1_42041631	0.42659635	chr1p
chr1_42180432	0.383234348	chr1p
chr1_42320015	0.427110852	chr1p
chr1_42457045	0.389759982	chr1p
chr1_42599076	0.429516005	chr1p
chr1_42741846	0.449069183	chr1p
chr1_42881938	0.476862222	chr1p
chr1_43023006	0.444271546	chr1p
chr1_43172741	0.465961747	chr1p
chr1_43311291	0.492131366	chr1p
chr1_43448100	0.494758183	chr1p
chr1_43583740	0.492870388	chr1p
chr1_43724491	0.420709203	chr1p
chr1_43859966	0.51036412	chr1p
chr1_43992587	0.477680136	chr1p
chr1_44132440	0.454775981	chr1p
chr1_44269281	0.453979732	chr1p
chr1_44401212	0.443217619	chr1p
chr1_44537698	0.502035873	chr1p
chr1_44672284	0.493548902	chr1p
chr1_44822646	0.442737124	chr1p
chr1_44972979	0.43628155	chr1p
chr1_45123375	0.404647917	chr1p
chr1_45276691	0.441917257	chr1p
chr1_45430661	0.453928731	chr1p
chr1_45589860	0.423606429	chr1p
chr1_45738184	0.4149699	chr1p
chr1_45887684	0.416741956	chr1p
chr1_46031574	0.425966272	chr1p
chr1_46172942	0.484350332	chr1p
chr1_46321795	0.497785948	chr1p
chr1_46470843	0.509581125	chr1p
chr1_46604439	0.429074555	chr1p
chr1_46743853	0.420594645	chr1p
chr1_46936573	0.403637387	chr1p
chr1_47132043	0.459330987	chr1p
chr1_47285194	0.442857911	chr1p
chr1_47433946	0.480925322	chr1p
chr1_47565403	0.469167386	chr1p
chr1_47696352	0.498928374	chr1p
chr1_47823262	0.476705713	chr1p
chr1_47950804	0.465428821	chr1p
chr1_48083400	0.418440475	chr1p
chr1_48232984	0.388691208	chr1p
chr1_48385025	0.388871492	chr1p
chr1_48528728	0.436918836	chr1p
chr1_48657887	0.448560579	chr1p
chr1_48784813	0.401627174	chr1p
chr1_48915469	0.396563164	chr1p
chr1_49049604	0.387773022	chr1p
chr1_49194235	0.378633934	chr1p
chr1_49337537	0.37414905	chr1p
chr1_49471358	0.379141104	chr1p
chr1_49622948	0.364158225	chr1p
chr1_49768058	0.367458414	chr1p
chr1_49913601	0.374755114	chr1p
chr1_50059587	0.400352045	chr1p
chr1_50190252	0.439496303	chr1p
chr1_50321839	0.444358259	chr1p
chr1_50459784	0.372081806	chr1p
chr1_50594542	0.388170348	chr1p
chr1_50739821	0.371664125	chr1p
chr1_50882100	0.39407541	chr1p
chr1_51034043	0.394198434	chr1p
chr1_51175591	0.447123227	chr1p
chr1_51320267	0.405270655	chr1p
chr1_51463475	0.413414484	chr1p
chr1_51609377	0.394259423	chr1p
chr1_51746959	0.39110669	chr1p
chr1_51882679	0.44269316	chr1p
chr1_52025812	0.427041465	chr1p
chr1_52183052	0.400055331	chr1p
chr1_52327637	0.428858835	chr1p
chr1_52470789	0.409065513	chr1p
chr1_52610395	0.450982334	chr1p
chr1_52761871	0.426236092	chr1p
chr1_52913761	0.407819289	chr1p
chr1_53060603	0.507492965	chr1p
chr1_53191726	0.486675175	chr1p
chr1_53323360	0.473073718	chr1p
chr1_53460177	0.525535893	chr1p
chr1_53589074	0.502113573	chr1p
chr1_53717766	0.423676965	chr1p
chr1_53858333	0.433225555	chr1p
chr1_54000910	0.449196519	chr1p
chr1_54136383	0.506614843	chr1p
chr1_54274028	0.499607251	chr1p
chr1_54405155	0.493119	chr1p
chr1_54560365	0.49986596	chr1p
chr1_54705844	0.481051587	chr1p
chr1_54839813	0.459426715	chr1p
chr1_54987558	0.467570859	chr1p
chr1_55123886	0.38685584	chr1p
chr1_55257238	0.437054401	chr1p
chr1_55391187	0.416796566	chr1p
chr1_55531680	0.407598297	chr1p
chr1_55666526	0.401775659	chr1p
chr1_55803264	0.392513452	chr1p
chr1_55932429	0.394680542	chr1p
chr1_56066578	0.389027953	chr1p
chr1_56200410	0.400034079	chr1p
chr1_56335391	0.424877564	chr1p
chr1_56471176	0.422351223	chr1p
chr1_56605369	0.372741334	chr1p
chr1_56743725	0.404568065	chr1p
chr1_56873189	0.421239988	chr1p
chr1_57001287	0.419628386	chr1p
chr1_57131476	0.404964773	chr1p
chr1_57261633	0.410699092	chr1p
chr1_57390916	0.397861419	chr1p
chr1_57522218	0.40779927	chr1p
chr1_57660872	0.391830011	chr1p
chr1_57793210	0.408315386	chr1p
chr1_57924148	0.40922221	chr1p
chr1_58055353	0.418882686	chr1p
chr1_58195958	0.415964167	chr1p
chr1_58334155	0.427739325	chr1p
chr1_58469097	0.396781524	chr1p
chr1_58609474	0.400360521	chr1p
chr1_58746498	0.431655678	chr1p
chr1_58875726	0.432971682	chr1p
chr1_59011400	0.422170304	chr1p
chr1_59140663	0.408609017	chr1p
chr1_59278472	0.400221705	chr1p
chr1_59415591	0.40546014	chr1p
chr1_59555331	0.407280174	chr1p
chr1_59705245	0.38967544	chr1p
chr1_59837609	0.38115929	chr1p
chr1_59971553	0.387622831	chr1p
chr1_60100694	0.374398936	chr1p
chr1_60236079	0.374797741	chr1p
chr1_60372043	0.377626505	chr1p
chr1_60517769	0.375067293	chr1p
chr1_60655227	0.397542779	chr1p
chr1_60796769	0.400239444	chr1p
chr1_60927071	0.429169763	chr1p
chr1_61060298	0.391961823	chr1p
chr1_61191895	0.377488872	chr1p
chr1_61322426	0.399063026	chr1p
chr1_61451992	0.408861954	chr1p
chr1_61589772	0.409861325	chr1p
chr1_61729956	0.401909807	chr1p
chr1_61873426	0.395153996	chr1p
chr1_62020475	0.418901099	chr1p
chr1_62163800	0.463060249	chr1p
chr1_62311704	0.441349832	chr1p
chr1_62451840	0.361996456	chr1p
chr1_62592369	0.379506955	chr1p
chr1_62737589	0.371929022	chr1p
chr1_62881802	0.413229254	chr1p
chr1_63011575	0.400273809	chr1p
chr1_63142323	0.386706143	chr1p
chr1_63281139	0.415801671	chr1p
chr1_63425263	0.364884536	chr1p
chr1_63566779	0.423236763	chr1p
chr1_63700567	0.42483517	chr1p
chr1_63832976	0.410791839	chr1p
chr1_63962611	0.402819457	chr1p
chr1_64091560	0.408273501	chr1p
chr1_64226521	0.41202653	chr1p
chr1_64374128	0.408757251	chr1p
chr1_64510495	0.393443623	chr1p
chr1_64641665	0.400821123	chr1p
chr1_64774410	0.408836267	chr1p
chr1_64908109	0.418376173	chr1p
chr1_65046843	0.433574838	chr1p
chr1_65191630	0.408252713	chr1p
chr1_65329209	0.397114928	chr1p
chr1_65468131	0.375898325	chr1p
chr1_65612984	0.38237719	chr1p
chr1_65758534	0.363919663	chr1p
chr1_65898444	0.368141672	chr1p
chr1_66033517	0.366466871	chr1p
chr1_66168989	0.387546247	chr1p
chr1_66307646	0.395961247	chr1p
chr1_66443480	0.385013109	chr1p
chr1_66580413	0.378854423	chr1p
chr1_66710653	0.364080967	chr1p
chr1_66850512	0.368201518	chr1p
chr1_66985726	0.383620377	chr1p
chr1_67123800	0.399745928	chr1p
chr1_67272577	0.409936059	chr1p
chr1_67415209	0.431222132	chr1p
chr1_67561208	0.423019794	chr1p
chr1_67693164	0.415554288	chr1p
chr1_67822916	0.404705652	chr1p
chr1_67955820	0.390637249	chr1p
chr1_68096142	0.412362796	chr1p
chr1_68225967	0.409041888	chr1p
chr1_68365053	0.380733113	chr1p
chr1_68502958	0.361538346	chr1p
chr1_68635854	0.369481244	chr1p
chr1_68779274	0.383107025	chr1p
chr1_68920232	0.375487653	chr1p
chr1_69062495	0.369859269	chr1p
chr1_69205179	0.370780219	chr1p
chr1_69337206	0.37056412	chr1p
chr1_69477708	0.357516413	chr1p
chr1_69610983	0.348665641	chr1p
chr1_69740296	0.345987492	chr1p
chr1_69875087	0.364164388	chr1p
chr1_70025390	0.353615325	chr1p
chr1_70156623	0.367778059	chr1p
chr1_70291109	0.395227288	chr1p
chr1_70436519	0.384200178	chr1p
chr1_70572318	0.375431587	chr1p
chr1_70715974	0.379845839	chr1p
chr1_70857255	0.381188418	chr1p
chr1_70989801	0.374898042	chr1p
chr1_71125886	0.373179361	chr1p
chr1_71264093	0.366386555	chr1p
chr1_71399158	0.358020547	chr1p
chr1_71533195	0.357758155	chr1p
chr1_71662749	0.355876225	chr1p
chr1_71792339	0.356513777	chr1p
chr1_71929955	0.339675652	chr1p
chr1_72058089	0.338961381	chr1p
chr1_72187145	0.341078933	chr1p
chr1_72318015	0.35238329	chr1p
chr1_72456563	0.352374059	chr1p
chr1_72586425	0.348505651	chr1p
chr1_72715344	0.351495353	chr1p
chr1_72849727	0.353749146	chr1p
chr1_72994680	0.348041702	chr1p
chr1_73126759	0.357366284	chr1p
chr1_73261990	0.341222373	chr1p
chr1_73394241	0.344877684	chr1p
chr1_73530527	0.357417194	chr1p
chr1_73660711	0.35498255	chr1p
chr1_73792802	0.356993464	chr1p
chr1_73922852	0.359114266	chr1p
chr1_74058106	0.335050796	chr1p
chr1_74195518	0.35346228	chr1p
chr1_74327252	0.367965337	chr1p
chr1_74467113	0.377327446	chr1p
chr1_74599608	0.372563624	chr1p
chr1_74727154	0.367956209	chr1p
chr1_74859966	0.377424502	chr1p
chr1_75012884	0.372088485	chr1p
chr1_75151256	0.372038962	chr1p
chr1_75289341	0.377192194	chr1p
chr1_75434002	0.366028795	chr1p
chr1_75571177	0.384457543	chr1p
chr1_75720304	0.394430454	chr1p
chr1_75876367	0.36552898	chr1p
chr1_76010909	0.404214212	chr1p
chr1_76143413	0.397108455	chr1p
chr1_76277044	0.379740666	chr1p
chr1_76406298	0.375456844	chr1p
chr1_76544748	0.378475842	chr1p
chr1_76674249	0.387436456	chr1p
chr1_76806441	0.386149684	chr1p
chr1_76945066	0.400254648	chr1p
chr1_77087223	0.361739941	chr1p
chr1_77226768	0.377391039	chr1p
chr1_77357778	0.387953994	chr1p
chr1_77492196	0.399291867	chr1p
chr1_77626634	0.390858501	chr1p
chr1_77767158	0.40091305	chr1p
chr1_77919176	0.379327665	chr1p
chr1_78056549	0.390066995	chr1p
chr1_78201037	0.387641499	chr1p
chr1_78350861	0.374908285	chr1p
chr1_78485789	0.365882448	chr1p
chr1_78622188	0.367997345	chr1p
chr1_78751746	0.366608007	chr1p
chr1_78892103	0.34337413	chr1p
chr1_79024795	0.356070566	chr1p
chr1_79155623	0.35950127	chr1p
chr1_79289884	0.351290065	chr1p
chr1_79423947	0.364348378	chr1p
chr1_79564266	0.356884006	chr1p
chr1_79704998	0.342402144	chr1p
chr1_79833350	0.367472811	chr1p
chr1_79979271	0.34692269	chr1p
chr1_80112488	0.36009536	chr1p
chr1_80248813	0.348108108	chr1p
chr1_80382013	0.348853556	chr1p
chr1_80524279	0.34514054	chr1p
chr1_80655950	0.351910301	chr1p
chr1_80791871	0.343598321	chr1p
chr1_80919814	0.362060479	chr1p
chr1_81059995	0.364003721	chr1p
chr1_81191153	0.363586524	chr1p
chr1_81324307	0.373638177	chr1p
chr1_81454647	0.377931681	chr1p
chr1_81586909	0.390237281	chr1p
chr1_81723203	0.35895634	chr1p
chr1_81856963	0.339357213	chr1p
chr1_81986836	0.378506696	chr1p
chr1_82123111	0.373781843	chr1p
chr1_82263487	0.371769743	chr1p
chr1_82396140	0.36187389	chr1p
chr1_82524472	0.357732177	chr1p
chr1_82656828	0.350924029	chr1p
chr1_82787181	0.362228548	chr1p
chr1_82915749	0.374477734	chr1p
chr1_83050259	0.365504116	chr1p
chr1_83278292	0.368012185	chr1p
chr1_83546813	0.393942189	chr1p
chr1_83676893	0.39054477	chr1p
chr1_83808545	0.365705982	chr1p
chr1_83940673	0.376897365	chr1p
chr1_84078891	0.339594173	chr1p
chr1_84207468	0.384580638	chr1p
chr1_84344724	0.396375203	chr1p
chr1_84479904	0.382981059	chr1p
chr1_84616540	0.393207847	chr1p
chr1_84747603	0.418675604	chr1p
chr1_84877398	0.408967625	chr1p
chr1_85016766	0.395498033	chr1p
chr1_85150974	0.393817647	chr1p
chr1_85287621	0.39699304	chr1p
chr1_85419515	0.393709218	chr1p
chr1_85557749	0.403122999	chr1p
chr1_85695181	0.36910609	chr1p
chr1_85845845	0.362032133	chr1p
chr1_85993296	0.360260323	chr1p
chr1_86129281	0.381946323	chr1p
chr1_86273440	0.369872415	chr1p
chr1_86411858	0.394891606	chr1p
chr1_86545168	0.379042148	chr1p
chr1_86702541	0.402446151	chr1p
chr1_86847994	0.382029243	chr1p
chr1_86987376	0.370412571	chr1p
chr1_87121656	0.430658425	chr1p
chr1_87248975	0.408451132	chr1p
chr1_87380768	0.397200039	chr1p
chr1_87524270	0.39162237	chr1p
chr1_87657840	0.382329336	chr1p
chr1_87788667	0.368528504	chr1p
chr1_87916999	0.381832083	chr1p
chr1_88045181	0.37354862	chr1p
chr1_88175488	0.373382483	chr1p
chr1_88305703	0.370771263	chr1p
chr1_88441234	0.375039155	chr1p
chr1_88568930	0.381603127	chr1p
chr1_88706062	0.365021575	chr1p
chr1_88846966	0.399564837	chr1p
chr1_88990820	0.390320276	chr1p
chr1_89140597	0.383379456	chr1p
chr1_89285863	0.399526723	chr1p
chr1_89444034	0.388356096	chr1p
chr1_89584176	0.39396098	chr1p
chr1_89717542	0.420351793	chr1p
chr1_89856999	0.405634967	chr1p
chr1_89992510	0.37707368	chr1p
chr1_90132359	0.395810349	chr1p
chr1_90279197	0.387350305	chr1p
chr1_90410632	0.366567808	chr1p
chr1_90543145	0.376405483	chr1p
chr1_90679575	0.41575939	chr1p
chr1_90811839	0.390906134	chr1p
chr1_90947117	0.389202217	chr1p
chr1_91091091	0.416861166	chr1p
chr1_91243619	0.37349793	chr1p
chr1_91402067	0.391296212	chr1p
chr1_91546349	0.42620249	chr1p
chr1_91684084	0.423506803	chr1p
chr1_91814174	0.430534571	chr1p
chr1_91959786	0.392349187	chr1p
chr1_92103640	0.382063659	chr1p
chr1_92246590	0.381536144	chr1p
chr1_92396602	0.418093765	chr1p
chr1_92545272	0.37673141	chr1p
chr1_92699626	0.400303696	chr1p
chr1_92845825	0.3984233	chr1p
chr1_92989416	0.400037589	chr1p
chr1_93127753	0.370663407	chr1p
chr1_93264381	0.389221797	chr1p
chr1_93414072	0.380557345	chr1p
chr1_93555349	0.448200287	chr1p
chr1_93689038	0.447091518	chr1p
chr1_93825415	0.409243406	chr1p
chr1_93978324	0.458085865	chr1p
chr1_94106455	0.390146337	chr1p
chr1_94245449	0.41542482	chr1p
chr1_94388180	0.377416772	chr1p
chr1_94529329	0.431191654	chr1p
chr1_94666013	0.420912791	chr1p
chr1_94801882	0.433785256	chr1p
chr1_94935017	0.407917748	chr1p
chr1_95072253	0.400639322	chr1p
chr1_95217094	0.381815638	chr1p
chr1_95352903	0.394499805	chr1p
chr1_95486571	0.377146707	chr1p
chr1_95617178	0.383826637	chr1p
chr1_95748740	0.375224255	chr1p
chr1_95881959	0.349417561	chr1p
chr1_96013475	0.375746617	chr1p
chr1_96153942	0.369937007	chr1p
chr1_96293163	0.364433206	chr1p
chr1_96428812	0.38484032	chr1p
chr1_96567997	0.37865859	chr1p
chr1_96716244	0.364890244	chr1p
chr1_96849358	0.372738529	chr1p
chr1_96986658	0.372569917	chr1p
chr1_97115203	0.360407708	chr1p
chr1_97247062	0.361001696	chr1p
chr1_97389740	0.35198022	chr1p
chr1_97523614	0.350062023	chr1p
chr1_97655822	0.336054401	chr1p
chr1_97785673	0.342544473	chr1p
chr1_97913055	0.343649148	chr1p
chr1_98041337	0.364295729	chr1p
chr1_98173282	0.356989041	chr1p
chr1_98308880	0.368716426	chr1p
chr1_98437887	0.358501106	chr1p
chr1_98570358	0.365879889	chr1p
chr1_98711694	0.367380585	chr1p
chr1_98845743	0.371985095	chr1p
chr1_98979122	0.374440584	chr1p
chr1_99116989	0.36686084	chr1p
chr1_99252092	0.365715914	chr1p
chr1_99392507	0.377677408	chr1p
chr1_99535976	0.375408584	chr1p
chr1_99666916	0.388202056	chr1p
chr1_99805313	0.38229142	chr1p
chr1_99944432	0.387682297	chr1p
chr1_100084588	0.375003592	chr1p
chr1_100223776	0.400487123	chr1p
chr1_100363371	0.378524701	chr1p
chr1_100496361	0.39103727	chr1p
chr1_100631967	0.376538711	chr1p
chr1_100780143	0.375318628	chr1p
chr1_100920589	0.370378552	chr1p
chr1_101056396	0.370356008	chr1p
chr1_101190494	0.410214301	chr1p
chr1_101326284	0.394293412	chr1p
chr1_101462127	0.366751906	chr1p
chr1_101593521	0.363335801	chr1p
chr1_101729932	0.352199147	chr1p
chr1_101861051	0.349312446	chr1p
chr1_101991659	0.360715496	chr1p
chr1_102124434	0.341641524	chr1p
chr1_102257676	0.339294787	chr1p
chr1_102395450	0.348199456	chr1p
chr1_102540545	0.354756011	chr1p
chr1_102676289	0.344398669	chr1p
chr1_102815131	0.353647846	chr1p
chr1_102957722	0.327315063	chr1p
chr1_103092146	0.343962246	chr1p
chr1_103500086	0.355434556	chr1p
chr1_103792649	0.346235464	chr1p
chr1_103932135	0.339756185	chr1p
chr1_104063956	0.355421505	chr1p
chr1_104196410	0.356123135	chr1p
chr1_104336224	0.360661987	chr1p
chr1_104475260	0.351398449	chr1p
chr1_104612984	0.340986685	chr1p
chr1_104750353	0.349110467	chr1p
chr1_104898352	0.345815139	chr1p
chr1_105035298	0.345918672	chr1p
chr1_105169078	0.340337724	chr1p
chr1_105311798	0.338044966	chr1p
chr1_105442609	0.339531402	chr1p
